200
34.27,822.19
154.81,939.77
737.55,308.94
758.91,39.89
964.97,252.55
936.92,963.43
646.84,353.24
276.96,336.85
840.52,175.35
107.32,574.87
79.26,972.44
429.87,633.27
924.01,671.36
69.97,897.72
661.44,544.74
993.48,494.17
888.93,721.48
804.18,343.01
114.72,688.36
173.48,289.53
266.79,156.21
758.57,153.91
793.94,406.12
342.09,349.92
586.17,946.66
911.64,41.19
360.76,692.61
961.84,762.96
481.95,400.21
670.14,391.83
28.27,755.68
73.81,626.09
665.35,734.22
293.14,633.91
299.55,982.4
910.52,144.03
271.67,518.83
782.21,834.15
986.61,109.71
697.12,341.64
34.87,403.76
223.93,385.81
643.01,659.63
135.79,565.68
995.63,313.61
592.07,877.61
194.11,997.82
875.42,365.43
185.06,243.58
828.69,798.36
35.02,911.28
278.1,16.14
920.88,748.83
18.69,694.5
766.89,912.94
82.36,730.07
755.28,497.96
866.91,70.61
239.67,827.77
123.84,348.91
712.17,246.98
63.47,705.15
920.46,920.07
578.71,45.02
125.38,865.77
176.2,776.29
357.82,230.99
172.25,424.8
687.83,279.04
636.46,422.19
442.27,60.95
333.65,290.13
254.49,773.86
637.83,913.76
349.8,9.32
821.29,438.77
406.48,276.45
216.12,20.17
858.83,128.54
680.42,99.1
980.03,158.25
443.28,183.08
507.89,280.72
934.31,954.08
43.94,139.72
74.61,19.29
179.56,379.65
323.53,486.04
719.51,830.2
792.47,358.63
266.52,274.26
561.36,365.4
290.8,682.1
891.61,745.68
358.71,17.66
830.61,575.14
953.92,496.42
111.9,943.83
341.93,644.81
950.88,892.16
45.97,70.66
684.33,525.67
580.62,163.42
917.37,608.48
91.83,187.06
847.41,746.83
436.56,447.4
187.61,822.74
880.35,468.14
872.47,614.39
964.68,427.6
185.26,90.91
155.37,964.13
208.15,134.8
799.32,161.1
394.45,568.44
535.39,254.01
383.79,15.89
727.49,361.59
760.31,407.18
420.55,542.31
74.45,254.72
346.9,784.47
657.27,259.77
399.93,376.26
234.46,909.73
198.88,623.16
997.27,603.8
136.51,497.19
836.67,65.88
85.96,999.73
736.31,472.18
291.86,668.13
509.64,849.48
46.24,288.79
234.28,610.43
15.37,646.34
166.93,795.6
209.94,982.97
455.03,845.25
468.15,529.2
522.71,667.52
338.63,707.33
983.49,12.84
720.66,914.42
849.32,224.25
143.82,758.66
574.89,306.43
218.86,385.17
117.84,952.61
901.95,630.26
693.21,147.85
538.95,879.41
156.24,737.5
627.66,790.92
81.21,768.63
577.91,239.8
807.44,883.14
64.01,502.16
901.17,69.13
403.81,217.83
62.39,952.04
160.11,347.91
342.5,102.58
364.28,31.86
228.87,273.59
148.69,336.77
844.87,538.76
877.6,879.68
813.98,302.24
812.48,945.94
222.28,121.43
577.28,557.33
641.82,104.53
886.56,591.82
397.13,247.93
942.16,388.4
411.05,560.52
268.39,469.23
732.77,827.29
276.57,452.28
932.91,837.49
268.86,836.57
905.31,219.01
142.21,881.76
271.56,715.41
84.36,652.11
893.42,319.14
217.1,185.03
980.23,449.55
243.76,924.08
886.04,680.86
597.24,806.97
1,1
2,2
3,3
4,4
5,5
6,6
7,7
